                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4188,                 3.0902,                0.84879,                0.00655,                0.06043,                0.01812,                0.00362,                  1.606,                 4.1951,                0.82093,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.3009,                  1.291,                0.82111,                 0.0018,                0.03207,                 0.0012,                0.00025,                  1.574,                 4.1843,                0.83511,             0.00038366,             0.00038366,             0.00038366
                      3,                 1.2643,                 1.1144,                0.81704,                0.00194,                0.00834,                0.00102,                0.00033,                 1.4506,                 4.0179,                0.80733,             0.00057587,             0.00057587,             0.00057587
                      4,                 1.2756,                0.98353,                0.81538,                0.01987,                0.10029,                0.03456,                 0.0167,                 1.3622,                 3.8715,                 0.8105,             0.00076411,             0.00076411,             0.00076411
                      5,                 1.2901,                0.93945,                0.81287,                0.02752,                0.14592,                0.08354,                0.04724,                 1.3056,                 3.6093,                0.80422,             0.00094839,             0.00094839,             0.00094839
                      6,                 1.2013,                0.85765,                0.81693,                0.03152,                0.30277,                0.17264,                0.09716,                 1.3114,                 3.1225,                0.80842,              0.0011287,              0.0011287,              0.0011287
                      7,                  1.435,                0.90884,                0.82481,                0.04298,                0.45161,                0.23499,                0.14059,                 1.1414,                 2.7273,                0.80008,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3392,                0.85904,                0.82086,                 0.9563,                0.13151,                0.39112,                0.25229,                 1.1373,                 1.9506,                0.80341,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2005,                0.80471,                0.82147,                0.84083,                 0.3279,                 0.4975,                0.28007,                 1.2816,                 1.5594,                0.81365,               0.001151,               0.001151,               0.001151
                     10,                 1.2089,                0.80221,                0.81538,                0.94178,                0.34218,                0.51809,                 0.3067,                 1.1664,                 1.3086,                 0.8093,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1528,                0.72924,                0.81192,                0.86511,                0.47538,                0.61389,                 0.3664,                 1.1675,                0.90214,                0.80543,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1577,                  0.701,                0.80938,                0.85205,                0.57049,                0.65559,                0.40037,                 1.1209,                0.74779,                0.80553,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2366,                0.72201,                0.81522,                0.84936,                0.57042,                0.66357,                 0.3969,                 1.1108,                0.73674,                0.80139,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1379,                0.66294,                 0.8079,                0.83816,                0.60555,                 0.6848,                0.42987,                 1.0525,                0.61848,                0.80261,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1208,                0.65822,                0.80742,                0.84786,                 0.6658,                0.72472,                0.44984,                 1.0103,                0.64914,                0.79897,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1077,                0.63856,                0.80184,                  0.846,                0.64358,                0.71446,                0.46249,                0.94678,                0.57627,                0.79518,              0.0010644,              0.0010644,              0.0010644
                     17,                  1.052,                0.59755,                0.79993,                0.82568,                0.61813,                 0.6926,                0.43384,                0.96366,                0.58988,                0.79369,               0.001052,               0.001052,               0.001052
                     18,                 1.0374,                0.59834,                0.80191,                0.84346,                0.63442,                0.70575,                0.44375,                0.95828,                0.56584,                0.79458,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0534,                0.58336,                0.80548,                0.88869,                0.66748,                0.72851,                0.44473,                0.97254,                0.57369,                 0.7962,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0629,                0.59443,                0.79831,                0.90258,                0.65056,                0.73593,                 0.4596,                0.93585,                0.56322,                0.79379,              0.0010149,              0.0010149,              0.0010149
                     21,                0.96656,                0.55034,                0.79987,                 0.8795,                0.67667,                0.76464,                  0.498,                 0.9184,                0.52971,                0.79096,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0303,                0.56834,                0.80165,                0.94113,                0.68343,                0.77087,                0.49122,                0.95068,                0.54583,                0.79332,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0178,                0.55381,                0.79928,                0.90234,                0.67295,                0.76538,                 0.4796,                0.89492,                0.52365,                0.79105,             0.00097775,             0.00097775,             0.00097775
                     24,                0.99991,                0.54521,                0.79742,                0.89009,                0.63517,                0.74814,                0.45867,                 1.0008,                0.55602,                0.79674,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0369,                0.55411,                0.80339,                0.83546,                0.61886,                0.70991,                0.43455,                0.99799,                0.56276,                  0.796,               0.000953,               0.000953,               0.000953
                     26,                 1.1319,                0.57948,                0.80445,                0.87407,                0.67001,                0.72588,                0.43066,                 1.1016,                0.61227,                0.80241,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0756,                0.56455,                0.79805,                0.86942,                0.67524,                0.74407,                0.46462,                0.96503,                0.54062,                0.79454,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.0241,                0.53688,                0.79883,                0.83544,                0.65696,                0.71597,                0.45532,                0.96935,                0.55914,                0.79565,             0.00091588,             0.00091588,             0.00091588
                     29,                  1.023,                0.55472,                0.79922,                0.82031,                0.64845,                0.71853,                0.45723,                0.93827,                 0.5448,                0.79195,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.0009,                0.53607,                0.79476,                0.90828,                0.68805,                0.76475,                0.48237,                0.95784,                0.53379,                0.79235,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.0154,                0.53288,                0.79818,                0.92806,                0.61898,                0.75662,                0.46103,                0.94732,                0.54278,                0.79489,             0.00087875,             0.00087875,             0.00087875
                     32,                0.97705,                0.52406,                0.79476,                0.85206,                0.70952,                0.78023,                0.48276,                 0.9614,                0.53084,                0.79496,             0.00086637,             0.00086637,             0.00086637
                     33,                0.97007,                0.51072,                0.79804,                0.88796,                0.63201,                0.74781,                0.45803,                0.93728,                0.53593,                0.78917,               0.000854,               0.000854,               0.000854
                     34,                0.94653,                 0.5052,                0.79144,                  0.933,                 0.5859,                0.73236,                0.45913,                0.92963,                0.53914,                0.79334,             0.00084162,             0.00084162,             0.00084162
                     35,                0.99112,                0.51715,                0.79664,                0.88229,                0.70488,                0.77445,                0.49557,                0.90753,                 0.5045,                0.78954,             0.00082925,             0.00082925,             0.00082925
                     36,                0.93894,                0.49607,                0.79512,                0.91736,                  0.643,                0.73944,                0.48227,                0.85812,                0.50056,                  0.787,             0.00081688,             0.00081688,             0.00081688
                     37,                 0.9319,                0.48824,                0.79173,                0.85067,                0.69173,                0.74474,                0.46658,                  0.963,                0.52775,                0.79272,              0.0008045,              0.0008045,              0.0008045
                     38,                  0.973,                0.50626,                0.79391,                 0.8341,                  0.709,                0.76072,                0.49609,                0.89555,                0.51171,                0.78998,             0.00079213,             0.00079213,             0.00079213
                     39,                 0.9777,                0.50906,                0.79134,                0.83508,                0.73859,                0.76757,                0.49698,                0.93484,                0.49732,                0.78983,             0.00077975,             0.00077975,             0.00077975
                     40,                0.99013,                0.52456,                0.79511,                0.85264,                0.66327,                0.74737,                 0.4608,                0.94509,                0.52046,                 0.7915,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.9323,                0.51075,                0.79365,                0.89135,                0.65956,                0.75195,                  0.486,                 0.9146,                0.55466,                0.78937,               0.000755,               0.000755,               0.000755
                     42,                0.93802,                0.49311,                0.79159,                0.87753,                0.68295,                0.75899,                0.49685,                0.89892,                0.49788,                0.78963,             0.00074263,             0.00074263,             0.00074263
                     43,                0.94249,                0.49625,                0.79139,                0.81879,                0.69069,                0.75839,                0.49379,                0.89102,                0.50949,                 0.7902,             0.00073025,             0.00073025,             0.00073025
                     44,                0.91976,                0.47969,                0.79176,                0.85477,                0.72337,                0.77315,                0.50132,                0.87752,                0.47753,                0.78814,             0.00071788,             0.00071788,             0.00071788
                     45,                0.90139,                0.46207,                0.79023,                0.89121,                0.69782,                0.77039,                0.51247,                0.85505,                0.47209,                0.78781,              0.0007055,              0.0007055,              0.0007055
                     46,                0.89825,                0.45826,                0.78776,                0.86084,                0.64361,                0.73931,                 0.4888,                0.84847,                 0.4824,                0.78724,             0.00069313,             0.00069313,             0.00069313
                     47,                 0.8703,                0.45328,                0.78984,                0.84332,                0.68107,                0.76494,                0.51186,                0.86446,                0.47112,                0.78778,             0.00068075,             0.00068075,             0.00068075
                     48,                0.94454,                0.47562,                0.78903,                0.88233,                0.69123,                0.77134,                0.51702,                0.88127,                0.48787,                0.78835,             0.00066838,             0.00066838,             0.00066838
                     49,                0.96704,                0.47749,                0.78914,                0.91068,                0.68031,                0.76103,                0.51853,                 0.8705,                0.47241,                0.78928,               0.000656,               0.000656,               0.000656
                     50,                 0.9178,                0.45967,                0.78742,                0.91614,                0.66364,                0.76628,                0.50222,                0.87606,                0.48205,                 0.7898,             0.00064362,             0.00064362,             0.00064362
                     51,                0.91613,                0.45844,                0.79177,                0.82596,                0.69496,                0.76648,                0.50714,                0.91491,                0.48253,                  0.791,             0.00063125,             0.00063125,             0.00063125
                     52,                0.90937,                0.45381,                 0.7894,                0.87204,                0.70229,                0.75963,                0.48405,                0.90069,                0.48058,                0.79217,             0.00061887,             0.00061887,             0.00061887
                     53,                0.87058,                0.43449,                0.78793,                0.87725,                0.70097,                0.76974,                0.50791,                0.82199,                 0.4519,                0.78705,              0.0006065,              0.0006065,              0.0006065
                     54,                0.90543,                0.44561,                0.78876,                0.93511,                0.63853,                0.74357,                0.48812,                0.92325,                0.48262,                0.78903,             0.00059413,             0.00059413,             0.00059413
                     55,                0.91189,                0.44387,                0.79059,                0.95512,                0.63382,                0.76476,                0.51297,                0.87306,                0.45427,                0.78888,             0.00058175,             0.00058175,             0.00058175
                     56,                0.86364,                0.42501,                0.78949,                0.87189,                0.70561,                0.77712,                 0.5211,                0.81207,                0.42733,                0.78709,             0.00056938,             0.00056938,             0.00056938
                     57,                0.88828,                0.43338,                0.78761,                0.84202,                0.73598,                0.78646,                0.53463,                0.80886,                0.43077,                0.78462,               0.000557,               0.000557,               0.000557
                     58,                0.85824,                0.42722,                0.78608,                0.85252,                0.72577,                0.77422,                0.52046,                0.81262,                0.43328,                 0.7857,             0.00054463,             0.00054463,             0.00054463
                     59,                0.84909,                0.41858,                0.78698,                0.80771,                0.71951,                0.76532,                 0.4982,                0.82754,                0.44118,                0.78652,             0.00053225,             0.00053225,             0.00053225
                     60,                 0.8608,                0.42165,                0.78492,                0.91564,                0.69546,                0.77477,                0.51683,                0.85082,                0.44818,                0.78705,             0.00051988,             0.00051988,             0.00051988
                     61,                0.86569,                 0.4203,                0.78513,                0.87556,                0.69649,                0.76911,                0.52185,                0.81133,                0.43349,                0.78588,              0.0005075,              0.0005075,              0.0005075
                     62,                0.84515,                0.42189,                0.78455,                0.94857,                0.62237,                0.75618,                0.51978,                0.83165,                0.45793,                0.78606,             0.00049513,             0.00049513,             0.00049513
                     63,                0.87599,                0.43383,                0.78897,                0.85818,                0.73328,                0.78385,                0.53582,                0.82989,                0.43842,                0.78535,             0.00048275,             0.00048275,             0.00048275
                     64,                0.89024,                0.43083,                0.78441,                0.86066,                0.67998,                0.76041,                0.51095,                0.87408,                0.46612,                0.78962,             0.00047038,             0.00047038,             0.00047038
                     65,                0.86495,                0.42178,                 0.7873,                0.90091,                 0.6679,                0.75568,                0.50698,                0.82486,                0.45098,                0.78651,               0.000458,               0.000458,               0.000458
                     66,                0.87368,                0.42104,                0.78771,                 0.8388,                0.72778,                0.78336,                0.53066,                0.87324,                 0.4553,                0.78656,             0.00044563,             0.00044563,             0.00044563
                     67,                 0.8944,                0.42697,                0.78631,                0.80355,                0.71708,                 0.7658,                0.51507,                  0.811,                0.44598,                0.78577,             0.00043325,             0.00043325,             0.00043325
                     68,                0.84953,                0.41847,                 0.7856,                0.88071,                0.70962,                0.75722,                0.51895,                0.79641,                0.43731,                0.78518,             0.00042087,             0.00042087,             0.00042087
                     69,                0.84443,                0.41106,                0.78384,                0.88781,                0.72407,                0.77104,                0.52735,                0.81104,                0.43581,                0.78451,              0.0004085,              0.0004085,              0.0004085
                     70,                0.82504,                 0.4037,                0.78461,                0.84786,                0.71572,                0.77927,                0.53703,                0.80118,                 0.4314,                0.78486,             0.00039613,             0.00039613,             0.00039613
                     71,                0.84705,                0.40831,                0.78526,                0.89517,                0.72591,                0.80354,                0.54416,                0.81185,                 0.4363,                0.78526,             0.00038375,             0.00038375,             0.00038375
                     72,                0.84128,                 0.4069,                 0.7841,                0.83351,                0.73269,                0.79609,                0.54847,                0.80822,                0.42865,                0.78448,             0.00037138,             0.00037138,             0.00037138
                     73,                0.83466,                0.40734,                0.78501,                0.86099,                0.73472,                0.79227,                0.54265,                0.84283,                0.43274,                0.78605,               0.000359,               0.000359,               0.000359
                     74,                0.86014,                0.41386,                0.78381,                0.84496,                 0.7218,                 0.7778,                0.53608,                0.81746,                0.43533,                0.78471,             0.00034663,             0.00034663,             0.00034663
                     75,                0.83757,                0.40333,                0.78379,                0.90631,                0.70343,                0.78393,                0.53694,                0.80802,                 0.4219,                 0.7836,             0.00033425,             0.00033425,             0.00033425
                     76,                0.83034,                0.40141,                0.78455,                0.89096,                0.72238,                0.78367,                0.55124,                0.80211,                0.42491,                 0.7839,             0.00032188,             0.00032188,             0.00032188
                     77,                0.81506,                0.39536,                0.78173,                0.87137,                 0.7201,                0.78137,                0.54568,                0.78769,                0.42475,                0.78354,              0.0003095,              0.0003095,              0.0003095
                     78,                0.83579,                0.40023,                0.78006,                 0.8806,                0.72892,                0.79199,                0.53554,                0.81069,                0.43321,                0.78509,             0.00029713,             0.00029713,             0.00029713
                     79,                0.83438,                 0.3999,                 0.7826,                0.84418,                0.74241,                 0.7837,                 0.5355,                0.79566,                0.43401,                 0.7829,             0.00028475,             0.00028475,             0.00028475
                     80,                0.81474,                0.39344,                 0.7831,                0.85588,                 0.7277,                0.78853,                0.55532,                0.79579,                0.42724,                0.78269,             0.00027237,             0.00027237,             0.00027237
                     81,                0.81457,                0.39362,                 0.7844,                0.86923,                0.73474,                0.79321,                0.55672,                0.79574,                0.42728,                0.78223,                0.00026,                0.00026,                0.00026
                     82,                0.80766,                0.38734,                0.78177,                0.91064,                0.72987,                0.78924,                 0.5572,                0.79057,                   0.42,                0.78247,             0.00024762,             0.00024762,             0.00024762
                     83,                0.79388,                0.38462,                0.78044,                0.86581,                0.71959,                0.76791,                0.53315,                0.79513,                0.42534,                0.78335,             0.00023525,             0.00023525,             0.00023525
                     84,                0.80482,                0.38382,                0.78113,                0.87294,                0.71537,                0.78805,                0.53978,                0.81158,                0.42382,                0.78366,             0.00022288,             0.00022288,             0.00022288
                     85,                0.78184,                  0.383,                0.78304,                0.88884,                0.72091,                0.78851,                0.56018,                0.78168,                0.40403,                 0.7823,              0.0002105,              0.0002105,              0.0002105
                     86,                0.81381,                0.39139,                0.78352,                0.90782,                 0.7118,                0.78706,                0.55918,                0.78972,                0.41652,                0.78258,             0.00019813,             0.00019813,             0.00019813
                     87,                0.79308,                0.38063,                 0.7805,                0.90085,                0.72309,                0.78222,                0.54636,                0.79177,                0.42026,                0.78206,             0.00018575,             0.00018575,             0.00018575
                     88,                0.80369,                0.38395,                 0.7796,                0.90501,                0.72263,                0.78531,                 0.5463,                  0.785,                 0.4134,                0.78237,             0.00017338,             0.00017338,             0.00017338
                     89,                0.80479,                0.38418,                0.78189,                0.89054,                0.72776,                0.78004,                0.53789,                 0.7886,                0.42358,                0.78223,               0.000161,               0.000161,               0.000161
                     90,                0.77988,                0.37739,                0.78058,                0.91756,                0.72247,                0.78715,                0.54648,                0.78231,                0.41642,                0.78183,             0.00014862,             0.00014862,             0.00014862
                     91,                0.75318,                0.38447,                 0.7809,                0.90293,                 0.7122,                0.78221,                0.54335,                0.78198,                0.40968,                0.78187,             0.00013625,             0.00013625,             0.00013625
                     92,                0.74656,                 0.3702,                0.78495,                0.90499,                0.73196,                0.79004,                0.54561,                0.78997,                0.41066,                 0.7824,             0.00012387,             0.00012387,             0.00012387
                     93,                 0.7278,                0.37026,                0.78146,                0.92796,                0.73477,                 0.8004,                0.54972,                0.77991,                0.40683,                0.78135,              0.0001115,              0.0001115,              0.0001115
                     94,                0.72951,                0.35851,                 0.7803,                0.92867,                0.71039,                0.79366,                0.54337,                0.79494,                 0.4029,                0.78289,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.73896,                0.37086,                0.77725,                0.82306,                0.73434,                 0.7844,                0.54224,                0.77735,                0.40763,                0.78095,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.73356,                0.36286,                0.78273,                0.82252,                0.74647,                0.78731,                0.53423,                0.78046,                0.40544,                0.78192,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.71706,                0.35956,                0.77737,                0.82357,                0.74925,                0.79221,                0.53919,                0.77905,                0.40742,                0.78176,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.71207,                0.35316,                0.77853,                0.84792,                0.74105,                0.79447,                0.54497,                0.77363,                0.40276,                0.78168,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.70491,                0.35204,                0.77932,                0.88871,                  0.745,                0.79684,                0.54324,                0.77747,                0.40187,                0.78233,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.69426,                 0.3429,                0.78061,                0.90754,                 0.7415,                0.79664,                0.54765,                0.77579,                0.40191,                0.78214,             2.4875e-05,             2.4875e-05,             2.4875e-05
